"abort","เลิกทำ, เลิกทำกลางคัน",
"about","เกี่ยวกับ",
"about-dialog","หน้าต่างเกี่ยวกับโปรแกรม, หน้าต่างโปรแกรม, แนะนำตัว",
"abstract","แอ็บสแทรกต์, ที่เป็นนามธรรม, นามธรรม",
"acceleration","การเร่งความเร็ว, การเพิ่มความเร็ว, การปรับความเร่ง, ความเร่ง",
"accelerator","คีย์ด่วน",
"accept","ยอมรับ",
"access","แอ็กเซส, เข้าถึง, การเข้าถึง",
"access code","รหัสเข้าถึง",
"accessibility","สิ่งอำนวยความสะดวก",
"accessory","อุปกรณ์เสริม",
"accomplish","สำเร็จ",
"account","บัญชีผู้ใช้",
"acknowledgement","การยอมรับ, การตอบรับ",
"ACOS","ACOS",
"ACOSH","ACOSH",
"Acrobat","อะโครแบท",
"Acrobat Reader","อะโครแบทรีดเดอร์",
"acronym","รหัสพจน์, คำย่อ",
"action","การปฏิบัติการ, การดำเนินการ",
"activate","กระตุ้น (ให้ทำงาน), เริ่มใช้, ใช้งาน, เริ่มใช้งาน",
"active","กำลังทำงาน, ทำงาน",
"activity","การทำงาน, กิจกรรม",
"actor","ตัวกระทำ, ผู้กระทำ",
"actuator","ผู้ทำให้ทำงาน",
"adapter","อะแดปเตอร์, ตัวปรับต่อ, ตัวแปลง",
"add-in program","โปรแกรมเพิ่มเติม, โปรแกรมเสริม",
"add-on","อุปกรณ์เสริม",
"address","ที่อยู่",
"address book","สมุดที่อยู่",
"adjacent","ประชิด, ติดกัน","ที่อยู่ประชิดหรือติดกัน"
"adjust","ปรับ, ปรับแต่ง",
"Tamazight",,
"administer","จัดการระบบ",
"administration","การจัดการระบบ",
"advance","ขั้นสูง, ระดับสูง",
"adventure","การผจญภัย, เกมผจญภัย",
"affinity","ความสัมพันธ์",
"agenda","กำหนดการ, วาระ",
"agent","เอเจนต์, ตัวกระทำ, ตัวแทน","ซอฟต์แวร์ที่อยู่บนอุปกรณ์ควบคุมการสื่อสารต่างๆ"
"aggregate","ผลรวม, การรวม",
"agree","ยอมรับ, เห็นด้วย",
"agreement","ข้อตกลง",
"alarm","เตือน, เครื่องเตือน, การเตือน",
"Albania","แอลเบเนีย","สาธารณรัฐแอลเบเนีย (Republic of Albania)"
"album","อัลบั้ม, สมุดภาพ",
"alert","เตือน, การเตือน, แจ้งเหตุ, แจ้งเตือน",
"Algeria","แอลจีเรีย","สาธารณรัฐประชาธิปไตยประชาชนแอลจีเรีย (Democratic and Popular Republic of Algeria)"
"algorithm","อัลกอริทึม, ชุดคำสั่ง, ขั้นตอนวิธี",
"alias","นามแฝง",
"align","จัดเรียง, จัดวาง, จัดเรียง, เรียง",
"alignment","การจัดเรียง, การจัดวาง",
"alloc","จัดสรร, alloc","Allocate"
"allow","อนุญาต, ยอม",
"alpha","แอลฟา",
"alphabet","ตัวอักษร, ชุดตัวอักษร, อักษร, พยัญชนะ",
"alphabetical","ตามลำดับอักษร",
"alpha channel","แอลฟาแชนเนล",
"alternate","ทางเลือก, สำรอง",
"am","am, ก่อนเที่ยงวัน",
"ambiguous","คลุมเครือ, กำกวม, ไม่ชัดเจน",
"amount","จำนวน",
"amusement","ของเล่น","กลุ่มของเล่นเพื่อความสนุก"
"analog","แอนะล็อก",
"analysis","การวิเคราะห์, การแยกแยะ, ผลวิเคราะห์",
"analyze","วิเคราะห์, แยกแยะ",
"analyzer","ตัววิเคราะห์, เครื่องมือวิเคราะห์, โปรแกรมวิเคราะห์",
"anchor","ตัวยึด, จุดยึด, อุปกรณ์ยึด, สมอยึด",
"Andorra","อันดอร์รา","ประเทศในทวีปยุโรป, ราชรัฐอันดอร์รา (Principality of Andorra)"
"angle","มุม",
"animate","ทำให้เคลื่อนไหว, ที่เคลื่อนไหว",
"animation","แอนิเมชัน, ภาพเคลื่อนไหว",
"anniversary","วันครบรอบปี",
"annotate","คำอธิบายประกอบ, หมายเหตุประกอบ",
"announcement","ประกาศ, คำประกาศ",
"anonymous","นิรนาม, ไม่ระบุชื่อ",
"antialias","ไร้รอยหยัก, ขจัดรอยหยัก",
"antonym","คำตรงข้าม",
"AOL","AOL",
"APOP","APOP",
"appearance","ลักษณะที่ปรากฏ",
"append","แนบมาด้วย, แนบเพิ่มเติม",
"applet","แอพเพล็ต",
"apply","มีผลใช้งาน, เริ่มใช้, ใช้งานทันที",
"appointment","นัด, การนัดหมาย",
"approved","ที่ได้รับการยอมรับ, ที่ผ่านการรับรอง, ที่ผ่านการตรวจสอบ, ที่ผ่านการอนุมัติ",
"apps","แอพพลิเคชัน, โปรแกรมประยุกต์",
"aqua","ฟ้าน้ำทะเล",
"arc","เส้นโค้ง, โค้ง",
"arcade","เกมอาเขต",
"architecture","สถาปัตยกรรม",
"archive","แฟ้มจัดเก็บ, ที่เก็บเอกสาร, ที่สำรองข้อมูล",
"area grid","บริเวณเส้นตาราง",
"Argentina","อาร์เจนตินา","สาธารณรัฐอาร์เจนตินา (Argentine Republic), ชื่อประเทศในทวีปอเมริกาใต้"
"argument","อาร์กิวเมนต์",
"Ark",,
"Armenia","อาร์เมเนีย","ชื่อประเทศในยุโรปตะวันออก, สาธารณรัฐอาร์เมเนีย (Republic of Armenia)"
"arrange","จัดเรียง, เรียง, จัดเตรียม, เตรียม, จัดเรียงลำดับ",
"arrangement","การจัดเรียง, การเรียง, การจัดเตรียม, การจัดวาง, การเรียบเรียง",
"array","อาร์เรย์, แถวลำดับ, แอร์เรย์",
"arrow","ลูกศร",
"arrow key","ปุ่มลูกศร, แป้นลูกศร",
"article","บทความ, ข่าว, ข้อย่อย, วัตถุ, สิ่งของ",
"artist","ศิลปิน, นักแสดง, ศิลปิน",
"ascending","ที่เคลื่อนขึ้น, จากน้อยไปหามาก","ที่เรียงลำดับจากน้อยไปหามาก"
"ASCII","แอสกี","American Standard Code for Information Interchange"
"Asia","เอเชีย",
"aspect ratio",,
"Assembly","แอสเซมบลี",
"assigned","ถูกกำหนด, ถูกมอบหมาย",
"assignment","การกำหนด",
"assistant","ผู้ช่วย",
"association","การเชื่อมต่อ, การเชื่อมโยง, การรวมกลุ่ม, กลุ่ม, สมาคม",
"asst","ผู้ช่วย",
"asterisk","เครื่องหมายดอกจัน",
"asynchronous","อะซิงโครนัส, ไม่ประสานจังหวะ",
"Atlantic","แอตแลนติก",
"atmosphere","บรรยากาศ, อากาศ",
"attach","แนบ",
"attachment","สิ่งที่แนบมา, สิ่งที่แนบมาด้วย, การแนบ, เอกสารแนบ, แฟ้มแนบ",
"attendance","ผู้เข้าร่วม, การเข้าร่วม, การร่วมอยู่ด้วย",
"attendees","ผู้เข้าร่วม, ผู้เข้าร่วมประชุม",
